incentive,capacity_pct,grid,all_pass,driver_pass,n,realized_dev,induced_M,budget_proxy
0.0,35,NoGrid,0.0,0.0,10,0.049415650364374744,0.0,0.0
0.25,35,NoGrid,0.0,0.0,10,0.0384613923144285,0.01095425804994623,0.0027385645124865573
0.5,35,NoGrid,0.0,0.0,10,0.027507279586195265,0.021908370778179472,0.010954185389089736
0.75,35,NoGrid,0.3,0.3,10,0.01655326570979951,0.03286238465457523,0.024646788490931423
1.0,35,NoGrid,0.9,0.9,10,0.005600201423218833,0.0438154489411559,0.0438154489411559
0.0,35,PeakPenalty,0.0,0.0,10,0.049415650364374744,0.0,0.0
0.25,35,PeakPenalty,0.0,0.0,10,0.0384613923144285,0.01095425804994623,0.0027385645124865573
0.5,35,PeakPenalty,0.0,0.0,10,0.027507279586195265,0.021908370778179472,0.010954185389089736
0.75,35,PeakPenalty,0.5,0.5,10,0.01655326570979951,0.03286238465457523,0.024646788490931423
1.0,35,PeakPenalty,0.9,0.9,10,0.005600201423218833,0.0438154489411559,0.0438154489411559
0.0,50,NoGrid,0.0,0.0,10,0.049415650364374744,0.0,0.0
0.25,50,NoGrid,0.0,0.0,10,0.0384613923144285,0.01095425804994623,0.0027385645124865573
0.5,50,NoGrid,0.0,0.0,10,0.027507279586195265,0.021908370778179472,0.010954185389089736
0.75,50,NoGrid,0.1,0.1,10,0.01655326570979951,0.03286238465457523,0.024646788490931423
1.0,50,NoGrid,1.0,1.0,10,0.005600201423218833,0.0438154489411559,0.0438154489411559
0.0,50,PeakPenalty,0.0,0.0,10,0.049415650364374744,0.0,0.0
0.25,50,PeakPenalty,0.0,0.0,10,0.0384613923144285,0.01095425804994623,0.0027385645124865573
0.5,50,PeakPenalty,0.0,0.0,10,0.027507279586195265,0.021908370778179472,0.010954185389089736
0.75,50,PeakPenalty,0.1,0.1,10,0.01655326570979951,0.03286238465457523,0.024646788490931423
1.0,50,PeakPenalty,0.8,0.8,10,0.005600201423218833,0.0438154489411559,0.0438154489411559
