criterion,column,rule,fail_frac_sev0,mean_value_sev0,n_sev0,fail_frac_sev1,mean_value_sev1,n_sev1,delta_fail_frac
D3 critical-RND-delta,critical_rnd_delta_vs_ll,le 24,0.0,0.0,60,0.9333333333333333,46.7,60,0.9333333333333333
F4 p95-wait-delta(min),p95_wait_delta_vs_ll_min,le 30,0.0,0.0,60,0.8166666666666667,49.249999999999986,60,0.8166666666666667
G4 squared-load-ratio,squared_load_proxy_ratio_vs_anchor,le 1.1,0.0,0.9805367446405412,60,0.5166666666666667,1.1000641210469129,60,0.5166666666666667
G2 ramp-ratio,ramp_p95_ratio_vs_anchor,le 1.1,0.0,0.9787521080439239,60,0.26666666666666666,1.0277193667612694,60,0.26666666666666666
D2 reliability-delta(pp),reliability_delta_vs_ll_pp,ge -0.5,0.0,0.0,60,0.16666666666666666,-0.23806317007604605,60,0.16666666666666666
G1 peak-ratio,peak_ratio_vs_ll,le 1.05,0.0,0.9383758027870963,60,0.016666666666666666,0.9556550639571486,60,0.016666666666666666
F3 max-queue-delta,max_queue_delta_vs_anchor,le 2.0,0.0,-1.7,60,0.0,-1.0333333333333334,60,0.0
F2 mean-queue-delta,mean_queue_delta_vs_anchor,le 1.0,0.0,0.0,60,0.0,0.042460317460317414,60,0.0
F1 RND-delta,requested_not_delivered_delta_vs_anchor,le 117,0.0,0.0,60,0.0,46.983333333333334,60,0.0
D1 delivered-ratio,delivered_ratio_vs_ll,ge 0.95,0.0,0.9996286440281276,60,0.0,0.9880501640410153,60,0.0
F6 demand-charge-ratio,demand_charge_ratio_vs_anchor,le 1.1,0.0,0.9383758027870963,60,0.0,0.9556550639571486,60,0.0
F5 energy-cost-ratio,energy_cost_ratio_vs_anchor,le 1.1,0.0,0.9994934193982491,60,0.0,0.9864001779831675,60,0.0
G3 peak-to-avg-ratio,peak_to_average_ratio_vs_anchor,le 1.1,0.0,0.9391745509683138,60,0.0,0.872637932468043,60,0.0
G5 load-factor-delta,load_factor_delta_vs_anchor,ge -0.05,0.0,0.01734928105303093,60,0.0,0.0348787064269781,60,0.0
