actor_failure_pattern,severity_level,severity_label,driver_behavior,fleet_policy,grid_policy,capacity_pct,rows
all_pass,0,full_compliance,Severity0Full,FleetServiceFirst,GridPeakPenalty,35,5
all_pass,0,full_compliance,Severity0Full,FleetServiceFirst,NoGridIncentive,35,5
all_pass,0,full_compliance,Severity0Full,FleetServiceGridWeighted,GridPeakPenalty,35,5
all_pass,0,full_compliance,Severity0Full,FleetServiceGridWeighted,NoGridIncentive,35,5
driver_fleet_grid_fail,1,mild_deviation,Severity1Mild,FleetServiceFirst,GridPeakPenalty,35,5
driver_fleet_grid_fail,2,moderate_deviation,Severity2Moderate,FleetServiceFirst,GridPeakPenalty,35,5
driver_fleet_grid_fail,3,severe_deviation,Severity3Severe,FleetServiceFirst,GridPeakPenalty,35,5
driver_fleet_grid_fail,1,mild_deviation,Severity1Mild,FleetServiceFirst,NoGridIncentive,35,5
driver_fleet_grid_fail,2,moderate_deviation,Severity2Moderate,FleetServiceFirst,NoGridIncentive,35,5
driver_fleet_grid_fail,3,severe_deviation,Severity3Severe,FleetServiceFirst,NoGridIncentive,35,5
driver_fleet_grid_fail,1,mild_deviation,Severity1Mild,FleetServiceGridWeighted,GridPeakPenalty,35,5
driver_fleet_grid_fail,2,moderate_deviation,Severity2Moderate,FleetServiceGridWeighted,GridPeakPenalty,35,5
driver_fleet_grid_fail,3,severe_deviation,Severity3Severe,FleetServiceGridWeighted,GridPeakPenalty,35,5
driver_fleet_grid_fail,1,mild_deviation,Severity1Mild,FleetServiceGridWeighted,NoGridIncentive,35,5
driver_fleet_grid_fail,2,moderate_deviation,Severity2Moderate,FleetServiceGridWeighted,NoGridIncentive,35,5
driver_fleet_grid_fail,3,severe_deviation,Severity3Severe,FleetServiceGridWeighted,NoGridIncentive,35,5
